year,"disaster type",iso," country_name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1900,Storm,USA,"United States of America (the)",1,6000,,,,,30000
1902,Storm,MMR,Myanmar,1,600,,,,,
1903,Storm,JAM,Jamaica,1,65,,,,,
1903,Storm,USA,"United States of America (the)",1,98,,,,,
1904,Storm,BGD,Bangladesh,1,,,,,,
1905,Storm,PHL,"Philippines (the)",1,240,,,,,
1906,Storm,HKG,"Hong Kong",1,10000,,,,,20000
1906,Storm,USA,"United States of America (the)",2,298,,,,,
1909,Storm,BGD,Bangladesh,2,172,,,,,
1909,Storm,HTI,Haiti,1,150,,,,,
1909,Storm,USA,"United States of America (the)",2,391,,,,,
1910,Storm,USA,"United States of America (the)",1,30,,,,,
1911,Storm,BGD,Bangladesh,1,,,,,,
1911,Storm,TWN,"Taiwan (Province of China)",1,1000,,,,,20000
1912,Storm,CAN,Canada,1,28,,200,2500,2700,5000
1912,Storm,CHN,China,1,50000,,,,,
1912,Storm,JAM,Jamaica,1,142,,,94820,94820,
1912,Storm,JPN,Japan,1,1000,,,,,20000
1912,Storm,PHL,"Philippines (the)",1,,,,,,10000
1913,Storm,USA,"United States of America (the)",1,732,,,,,200000
1914,Storm,TKL,Tokelau,1,,,,,,
1915,Storm,HTI,Haiti,1,1600,,,,,
1915,Storm,USA,"United States of America (the)",1,525,,,,,60000
1916,Storm,IND,India,1,300,,,,,
1917,Storm,JAM,Jamaica,1,57,,,,,
1917,Storm,JPN,Japan,1,4000,,,,,50000
1918,Storm,USA,"United States of America (the)",1,34,,,,,
1919,Storm,BGD,Bangladesh,1,,,,,,
1919,Storm,USA,"United States of America (the)",1,500,,,,,25000
1920,Storm,USA,"United States of America (the)",1,224,,,,,
1922,Storm,BGD,Bangladesh,1,,,,,,
1922,Storm,CHN,China,1,100000,,,,,
1923,Storm,BGD,Bangladesh,1,6,,,25000,25000,
1923,Storm,HKG,"Hong Kong",1,100,,,,,
1923,Storm,JAM,Jamaica,1,4,,,1300,1300,
1923,Storm,JPN,Japan,1,3000,,,,,10000
1923,Storm,MMR,Myanmar,1,6,,,,,
1923,Storm,SUN,"Soviet Union",1,23,,,,,
1924,Storm,IND,India,1,1242,1000000,,,1000000,
1924,Storm,TWN,"Taiwan (Province of China)",1,1000,,,,,
1925,Storm,IND,India,1,80,,,,,
1925,Storm,TKL,Tokelau,1,,,,,,
1925,Storm,USA,"United States of America (the)",1,739,,,,,18000
1926,Storm,BHS,"Bahamas (the)",1,,,,,,
1926,Storm,BGD,Bangladesh,1,,,,,,
1926,Storm,CUB,Cuba,1,600,,,,,
1926,Storm,MMR,Myanmar,1,2700,,,40000,40000,
1926,Storm,PAK,Pakistan,1,,,,,,
1926,Storm,USA,"United States of America (the)",2,268,,,,,73000
1927,Storm,CHN,China,1,5000,,,,,
1927,Storm,IND,India,2,685,40000,10,,40010,
1927,Storm,USA,"United States of America (the)",1,87,,,,,22000
1928,Storm,GLP,Guadeloupe,1,2000,,,,,
1928,Storm,MSR,Montserrat,1,,,,,,
1928,Storm,POL,Poland,1,82,,,,,
1928,Storm,PRI,"Puerto Rico",1,300,,,,,50000
1928,Storm,ROU,Romania,1,6,,,,,
1928,Storm,KNA,"Saint Kitts and Nevis",1,,,,,,
1928,Storm,USA,"United States of America (the)",1,1836,,,,,25000
1929,Storm,BHS,"Bahamas (the)",1,,,,,,
1929,Storm,DFR,"Germany Fed Rep",1,,,,,,55000
1930,Storm,BEL,Belgium,1,60,,,,,
1930,Storm,DMA,Dominica,1,2000,,,,,
1930,Storm,DOM,"Dominican Republic (the)",1,2000,6000,6000,,12000,40000
1930,Storm,GRC,Greece,1,22,,,,,
1931,Storm,BLZ,Belize,1,1500,,,,,7500
1931,Storm,FJI,Fiji,1,200,,,,,
1931,Storm,HND,Honduras,1,1500,,,,,
1931,Storm,PHL,"Philippines (the)",1,,,,,,
1932,Storm,CUB,Cuba,1,2500,,,,,
1932,Storm,PHL,"Philippines (the)",1,147,,,2500,2500,
1932,Storm,PRI,"Puerto Rico",1,225,,,,,30000
1932,Storm,USA,"United States of America (the)",2,372,,,,,
1933,Storm,JAM,Jamaica,1,10,,,,,
1933,Storm,TTO,"Trinidad and Tobago",1,13,,,,,3000
1933,Storm,USA,"United States of America (the)",1,40,,,,,
1934,Storm,SLV,"El Salvador",1,2000,,,,,
1934,Storm,JPN,Japan,1,3006,,,,,50000
1934,Storm,PHL,"Philippines (the)",2,85,,,,,
1935,Storm,BHS,"Bahamas (the)",1,14,,,,,
1935,Storm,CUB,Cuba,1,35,,500,,500,
1935,Storm,HTI,Haiti,1,2150,,,,,
1935,Storm,IND,India,2,60100,,,,,
1935,Storm,JAM,Jamaica,1,,,,,,2000
1935,Storm,USA,"United States of America (the)",1,408,,,,,6000
1936,Storm,IND,India,1,233,,,,,
1936,Storm,KOR,"Korea (the Republic of)",1,1104,,,,,
1936,Storm,MMR,Myanmar,1,1000,,,150000,150000,
1936,Storm,PHL,"Philippines (the)",1,517,,,,,
1936,Storm,USA,"United States of America (the)",1,455,,,,,21000
1937,Storm,BGD,Bangladesh,1,,,,,,
1937,Storm,HKG,"Hong Kong",1,11000,,,,,
1937,Storm,PHL,"Philippines (the)",1,231,,,,,
1938,Storm,PHL,"Philippines (the)",1,305,,,,,
1938,Storm,USA,"United States of America (the)",1,600,,,,,306000
1939,Storm,NCL,"New Caledonia",1,3,,,,,
1939,Storm,PAK,Pakistan,1,,,,,,
1940,Storm,PHL,"Philippines (the)",1,73,,,,,
1940,Storm,USA,"United States of America (the)",1,50,,,,,
1940,Storm,VUT,Vanuatu,1,,,,,,
1941,Storm,BGD,Bangladesh,1,5000,,,,,
1941,Storm,FJI,Fiji,1,6,,,,,
1942,Storm,BGD,Bangladesh,1,61000,,,,,
1942,Storm,COK,"Cook Islands (the)",1,,,,,,
1942,Storm,IND,India,1,40000,,,,,
1943,Storm,COK,"Cook Islands (the)",1,,,,,,
1943,Storm,IND,India,2,5000,30000,,,30000,
1944,Storm,CUB,Cuba,1,,,,,,
1944,Storm,IND,India,1,304,,,,,
1944,Storm,JAM,Jamaica,1,32,,,2000,2000,
1944,Storm,PAK,Pakistan,1,,,,10000,10000,
1944,Storm,USA,"United States of America (the)",1,390,,,,,100000
1945,Storm,BHS,"Bahamas (the)",1,22,,,,,
1945,Storm,IND,India,1,,,,2000,2000,
1945,Storm,JPN,Japan,2,4197,1881672,,,1881672,400000
1945,Storm,USA,"United States of America (the)",3,196,,,,,
1946,Storm,AZO,"Azores Islands",1,27,,,,,
1946,Storm,CAN,Canada,1,17,,,,,500
1946,Storm,COK,"Cook Islands (the)",1,,,,,,
1946,Storm,PHL,"Philippines (the)",1,260,,,,,
1946,Storm,USA,"United States of America (the)",1,33,,,,,
1947,Storm,BGD,Bangladesh,1,500,,,,,
1947,Storm,HKG,"Hong Kong",1,2000,,,,,
1947,Storm,JPN,Japan,1,1930,,,,,
1947,Storm,USA,"United States of America (the)",4,308,,,,,100000
1948,Storm,BMU,Bermuda,1,,,,,,
1948,Storm,CHN,China,2,1800,,,,,
1948,Storm,CUB,Cuba,2,14,,300,,300,18000
1948,Storm,ITA,Italy,1,80,,,,,
1948,Storm,JPN,Japan,1,868,414153,,,414153,
1948,Storm,NCL,"New Caledonia",1,2,,,,,
1948,Storm,REU,RÈunion,1,165,,,,,
1948,Storm,USA,"United States of America (the)",1,42,,,,,
1949,Storm,BRA,Brazil,1,100,,,,,
1949,Storm,IND,India,1,1000,,,,,
1949,Storm,JPN,Japan,3,617,194046,,,194046,
1949,Storm,PHL,"Philippines (the)",1,1000,,,,,
1949,Storm,USA,"United States of America (the)",2,87,,,,,
1950,Storm,ATG,"Antigua and Barbuda",1,2,,,,,1000
1950,Storm,CAN,Canada,1,,,,,,
1950,Storm,IND,India,1,90,,,,,
